答主,评分,咨询次数,咨询单价,总金额,描述,详情
Wifs P,4.99,296,4800,1420800,前四大，现咨询公司董事&事务所合伙人，《财务演绎法》作者,www.zhihu.com/consult/people/723319637462224896
袁大岛,4.93,13303,500,6651500,情感纠葛、人生选择、道理分析以及事件解读有一定的处理经验。值乎推送有延迟，烦恼您耐心等待，谢谢理解！,www.zhihu.com/consult/people/726218954011328512
田吉顺,4.99,1909,12500,23862500,我是 田吉顺，略懂 妇产科。问吧！,www.zhihu.com/consult/people/723220436434817024
营养师何思,4.95,43,4900,210700,中国营养学会注册营养师，擅长减重/疾病饮食/生活习惯。曾供职汤臣倍健、薄荷健康，丁香园签约作者，丁香医生营养领域审稿人,www.zhihu.com/consult/people/723500857064185856
章伟忠,4.96,1784,100,178400,28年眼镜业从业经验。涉及配镜处方、镜架品牌、镜架尺寸、镜片品牌、镜片参数等专业问题，请直接询问微信服务号-启明眼镜。,www.zhihu.com/consult/people/723600489823875072
赵欣,4.99,394,800,315200,我是赵欣，略懂税务基础知识。,www.zhihu.com/consult/people/723266032596176896
曾加,4.97,162,3600,583200,清华本硕，数据分析师，就职于 Top Tier 互联网公司。略懂互联网、数据分析、数理竞赛、清华生活、围棋、魔方、剧本杀,www.zhihu.com/consult/people/723179669989376000
咖喱鸡,4.99,716,4900,3508400,南京鼓楼医院整形外科主治医生，懂整形，美容，也懂医学，医生。美容咨询请附高清素颜正侧面照片。,www.zhihu.com/consult/people/724569120422494208
求解,4.96,583,9900,5771700,浙江某中级人民法院法官，大学特邀讲师。解答各类法律问题，并给出建议。,www.zhihu.com/consult/people/723594673536389120
王赟 Maigo,4.97,260,800,208000,专业语音识别，业余研究语言。乐于分享学习经验，但不敢担当人生导师。,www.zhihu.com/consult/people/723836120999161856
视光师金鑫,4.99,989,3900,3857100,验光技师，略懂验光配镜、隐形眼镜，视疲劳、用眼不适、关于眼镜尤其是验光的问题可以来问我！,www.zhihu.com/consult/people/723194958432968704
Steve Shi,4.95,1438,14900,21426200,心理咨询师，心理学领域优秀答者，著有《假性亲密关系》。因工作忙碌有时会错过回答，提问如过期未答复麻烦再提。,www.zhihu.com/consult/people/723343323963604992
马力和知群,4.97,60,9900,594000,1.产品经理、设计师的入门、提高问题；2.转行、入行进入互联网行业的问题；3.职业发展和选择问题。,www.zhihu.com/consult/people/723190773910085632
夏安,4.99,2818,2500,7045000,感染科医生，医学博士。略懂艾滋。提问请避开min gan词，缩写代替。工作忙，回复略慢，可以私信提醒。,www.zhihu.com/consult/people/723587962356391936
徐斌,4.88,2555,28800,73584000,房产律师 秦兵律师事务所主任 秦兵房产律师团队执行合伙人,www.zhihu.com/consult/people/723591432215986176
马虫 医生,4.98,3814,12900,49200600,三甲医院泌尿科主治医生，医学博士，《一本书读懂前列腺》作者，熟悉早泄、阳痿、前列腺炎、尿频等泌尿男科，解答规范+情绪疏导,www.zhihu.com/consult/people/725111909719744512
阿源老师,4.96,201,2000,402000,前医生，现产品经理、新媒体运营，略懂医疗、考研、执考、住培、择业及网络行业。,www.zhihu.com/consult/people/723317861644263424
郭佳,5.0,16,500,8000,摇滚编年史；互联网行业分析。已从汽修连锁离职，我个人无法回答汽车相关问题了，以前都是靠店里技师回答的,www.zhihu.com/consult/people/723704727186980864
呆叔,4.96,354,2800,991200,HR，香港中文大学硕士，IT行当混迹十余年，面人无数，对面试和职业规划有些心得,www.zhihu.com/consult/people/723622555772022784
看风景的蜗牛君,5.0,28,9900,277200,我是看风景的蜗牛君，光学工程科研狗，写小说的。想问啥就问吧⊙▽⊙,www.zhihu.com/consult/people/723291012688003072
葛巾,4.99,1042,4900,5105800,我是葛巾 略懂珠宝 时尚 男装 奢侈品与保险,www.zhihu.com/consult/people/723225828699164672
暗涌,5.0,64,3000,192000,应用心理学硕士，心理学优秀回答者，如果你面临内心的冲突和困惑，我愿意陪你一同成长。,www.zhihu.com/consult/people/723463206634287104
Sean Ye,4.92,1076,9900,10652400,不帮改简历，不代做职业规划，千里之外的人没资格替你规划未来。如错过你的追问，请知乎私信或公众号「瞎说职场」留言追，必答,www.zhihu.com/consult/people/723821413412143104
SunLau,4.95,140,9900,1386000,如可能附上图文说明，问题不宜过大宽泛，聚焦问题不超过 3 个，补充提问仅限问题深入或回答中的延展，不接受追加新问题。,www.zhihu.com/consult/people/723363398019985408
邓琰,4.99,235,700,164500,我是汽车音响改装技师，专注研究汽车音响升级方案和汽车隔音降噪。,www.zhihu.com/consult/people/723917383122575360
Zl Hao郝泽良,4.99,187,5000,935000,擅长青少年及成人正畸。擅长成人骨骼畸形非手术正畸治疗，气道管理，关节病正畸。,www.zhihu.com/consult/people/723637849244594176
心理咨询师卢悦,4.91,342,29900,10225800,二级心理咨询师，婚恋情感专家，从业15年，一线咨询超过2万小时。此处仅答疑，预约心理咨询请加xinzhizhu005,www.zhihu.com/consult/people/724343828181450752
华沙,5.0,21,4900,102900,研究认知神经科学（面孔认知）的在读博士。不懂心理咨询。,www.zhihu.com/consult/people/723181812393730048
小红拖拉机,4.96,347,9900,3435300,心理学硕士，职场、人力资源、心理学话题优秀答主,www.zhihu.com/consult/people/723825750850965504
圭多达莱佐,4.97,67,19900,1333300,青年作曲家,www.zhihu.com/consult/people/755657560060596224
Mr1900,4.98,169,13600,2298400,我是1900，专门解答初学者成长过程中的疑惑，同时提供钢琴选购顾问咨询。,www.zhihu.com/consult/people/723298040194023424
韩东燃,4.98,512,5800,2969600,北大-哈佛-北中医，特聘教授，博导，对专业选择、教育留学、亲密关系和人生规划有独特的见解，适合追逐智慧与梦想的你。,www.zhihu.com/consult/people/723632852851236864
冯晗,5.0,32,1000,32000,我是冯晗，略懂经济学。不懂宏观经济。,www.zhihu.com/consult/people/723179387100336128
Steven Li,4.98,64,8900,569600,摩根大通ED/CFA/FRM/哥大博士/美国Rutgers大学金融数学系客座教授。金融求职/考证/技能/技术咨询,www.zhihu.com/consult/people/723649987824619520
Jim Jin,4.95,432,5800,2505600,老码农、国内国外都呆过，略懂程序员求职面试和职业规划。回答不满意的请发个微信收款码。,www.zhihu.com/consult/people/723299560843128832
弗雷刘,4.85,48,5000,240000,我是刘博士，略懂材料，电池，能源，电动汽车，能源行业，欢迎大家提问咯～,www.zhihu.com/consult/people/723479680526589952
Shimizumint,5.0,36,2000,72000,我是Shimizumint，戏剧学博士生，略懂娱乐经纪和中日民俗文化,www.zhihu.com/consult/people/723282623618629632
Dr.Song心理学,5.0,49,9800,480200,美国心理学副教授，咨询范围：赴美留学、育儿、以及儿童心理、情绪和行为等问题。,www.zhihu.com/consult/people/738759709166673920
飒姐,4.97,1829,5000,9145000,我是飒姐，妇产科主治医师，欢迎来问。,www.zhihu.com/consult/people/744646185813282816
Eric Wang,4.99,479,2000,958000,十多年外企及上市公司工作经验，现就职于国企上市公司，负责HR、LOG、ADM、ITM、FCM、EHS等职能管理工作。,www.zhihu.com/consult/people/726315168673333248
黄璞琳,4.95,370,8000,2960000,欢迎咨询消费维权、商标广告竞争执法、企业注册等法律问题。苹果税太贵太不合理，凡苹果终端咨询，恕我最多回复三次追问。,www.zhihu.com/consult/people/723279758967738368
Fazioli,4.97,367,5700,2091900,,www.zhihu.com/consult/people/726678695464435712
Lea Liu,4.98,101,5900,595900,游戏原画师、游戏设计师，插画师，NYU Game Center硕士毕业生。推荐机构类问题，零基础如何xxx问题恕不回答。,www.zhihu.com/consult/people/769857690552782848
孙亚飞,4.97,206,4900,1009400,我是孙亚飞，清华大学化学系博士，科普工作志愿者，目前运营一个高科技产业化项目。,www.zhihu.com/consult/people/723143716834918400
杨嘉煜,5.0,112,9900,1108800,癫痫、疼痛、脑血管病相关。凡我回答的提问均可加微信长期随访，以获得最佳疗效。希望能成为朋友。,www.zhihu.com/consult/people/723590988353781760
Ryan,4.98,46,5000,230000,我在外资银行从事对公信贷审批，关于银行信贷、银行职业发展的话题可以问我。,www.zhihu.com/consult/people/723594635749900288
HR刀姐,4.96,286,9900,2831400,资深人力资源专家，能落地的管理顾问,www.zhihu.com/consult/people/763063099753250816
来须苍真,4.99,489,600,293400,毕业于鲁迅美术学院艺术设计专业，游戏原画，概念设计师。擅长游戏视觉艺术，游戏美术文化，世界观构架。具体见高票回答。,www.zhihu.com/consult/people/723240677596487680
死者代言人,5.0,51,2500,127500,在职、非公安法医。不针对具体案件提供具体的损伤程度、死亡原因等鉴定结果咨询。,www.zhihu.com/consult/people/723121599875657728
邓欣贤,5.0,72,900,64800,药物化学博士在读，懂点儿化学，也可回答用药问题，有脑洞的问题也欢迎...,www.zhihu.com/consult/people/723829916709183488
一苒,5.0,18,9900,178200,资深汽车产品经理，车评人，也懂汽车营销和电商,www.zhihu.com/consult/people/723241052177195008
future energy,5.0,15,5000,75000,奥尔堡大学电力电子博士，前南瑞继保工程师，IEEE电力电子和工业电子期刊审稿人,www.zhihu.com/consult/people/723821721282449408
青格乐,4.98,256,3000,768000,二语习得博士，语言习得、双语启蒙。所有的咨询我都会看到，我都尽力回答，没有回答的，是我爱莫能助的❤️,www.zhihu.com/consult/people/723262632135528448
铳蒙,4.97,244,20000,4880000,我是铳蒙，汽车行业从业14年，现从事人才规划，人力资源管理，职业规划，转型自我管理。,www.zhihu.com/consult/people/723189884763774976
王尔东,4.97,59,2100,123900,核技术，加速器，电子源，激光及东方神秘学,www.zhihu.com/consult/people/723311223709384704
Riko小姐,4.94,72,2800,201600,略懂职场，财会，情感。现管理咨询顾问，前四大审计，互联网财务分析师，拥有丰富早恋经验。,www.zhihu.com/consult/people/723190680016412672
尹璋琦,5.0,31,1000,31000,大学老师，研究量子物理，量子信息与量子计算,www.zhihu.com/consult/people/723254224317587456
薛迟,5.0,12,1000,12000,奥迪自动驾驶研发工程师，前博世ABS/ESP研发工程师，驾驶教练。,www.zhihu.com/consult/people/723174719620157440
vczh,5.0,35,25600,896000,专业造轮子，编程老司机，上班造Office，下班陪老婆。,www.zhihu.com/consult/people/723589147352113152
Zhang Leslie,5.0,28,50000,1400000,我是uncleleslie，国际并购专家、国际油气收购专家、Legal 500亚太最佳公司律师之一，欢迎提问,www.zhihu.com/consult/people/723220823128674304
BBKinG,5.0,28,6600,184800,《中国电竞幕后史》作者 十五年幕后，亲历多个项目兴衰，电竞虽小众，却是时代的缩影,www.zhihu.com/consult/people/723197635242000384
沈一冰,4.92,103,4800,494400,擅长公司法、创业公司股权架构及相关实务。不回答教育求职炒股问题，敬请谅解,www.zhihu.com/consult/people/723141001442508800
赵思家,5.0,34,10000,340000,牛津大学认知神经科学博士后。留英十年。,www.zhihu.com/consult/people/723189810805616640
许桐楷,4.94,244,4900,1195600,牙医，博士，北京大学口腔医学院全科医师。正畸不懂，儿科不做。,www.zhihu.com/consult/people/723281011919577088
陈铠楠,5.0,50,5000,250000,建筑类考研快题研究与教学。华南理工城市规划本硕。「观内外」考研版块负责人。,www.zhihu.com/consult/people/723209822152966144
蓝色,4.95,39,10000,390000,略懂程序,www.zhihu.com/consult/people/723312535243083776
邦比快跑,5.0,42,4800,201600,我是投资银行保荐代表人，略懂并购重组、IPO、再融资、公司债、新三板、投行招聘等,www.zhihu.com/consult/people/723585255960764416
朱王勇,5.0,139,3200,444800,口腔临床医学博士。专业咨询请尽量提供详细的描述，最好附上近焦照片和x光等，提高效率。,www.zhihu.com/consult/people/724544775578996736
叶赌徒,4.96,71,9900,702900,略懂心理疾病以及心理学相关。抑郁，焦虑等。,www.zhihu.com/consult/people/723236894866944000
一个kebab,4.98,131,4900,641900,欧洲及国内汽车行业技术及职业发展咨询/欧洲留学及工作咨询/全球旅行咨询,www.zhihu.com/consult/people/723648929220026368
何明科,4.99,95,10000,950000,时时刻刻的数据分析，多年的投融资和咨询，坚持到现在的互联网产品,www.zhihu.com/consult/people/723181018659422208
动机在杭州,4.97,266,28800,7660800,心理学博士，注册心理师。家庭治疗师。请用android手机或苹果网页版提问。,www.zhihu.com/consult/people/723173845745270784
邓柯,4.95,85,4800,408000,比我接地气的没我专业，比我专业的没我萌,www.zhihu.com/consult/people/723258745945067520
留德华叫兽,4.95,156,56800,8860800,美国应数硕博，德国海德堡大学AI博士，现德国某车厂无人驾驶视觉研发工程师。DIY全球全奖留学，转行数据科学/AI咨询。,www.zhihu.com/consult/people/745147424607043584
何先生,4.68,37,1500,55500,我是何先生，懂发动机，目前在某供应商从事标定工作，可回答标定相关或发动机相关问题,www.zhihu.com/consult/people/723180291065139200
汪惟,4.96,285,4500,1282500,餐饮、零售、新零售。还算得上见多识广。,www.zhihu.com/consult/people/723175085912903680
Summer Clover,5.0,36,2900,104400,东京大学.略懂机器学习，量子物理，科技撰稿，日本科技公司/科技创业，日本留学就职,www.zhihu.com/consult/people/723201269228900352
用Python的交易员,5.0,124,2800,347200,我是用Python的交易员，vn.py框架的作者，欢迎提问量化交易和Python,www.zhihu.com/consult/people/723186600204304384
平沙生,5.0,23,1000,23000,略懂京剧、昆曲、相声。在纽约业余时间做传统文化类非营利组织纽约梨园社。,www.zhihu.com/consult/people/723611533698936832
车尔尼雷夫司机,4.89,47,1000,47000,飞行员,www.zhihu.com/consult/people/724198194682028032
刘博洋,4.96,46,4200,193200,知乎天文学话题最佳回答者之一。北大天文校友，天体物理在读博士。关于天文的一切。,www.zhihu.com/consult/people/723312759990677504
水5郎 waterfive,5.0,27,5000,135000,我是水5郎，动画或者动画行业的问题可以找我,www.zhihu.com/consult/people/723232216900972544
冼艺哲Casper,4.96,641,5900,3781900,咨询师，略懂亲密关系、家庭关系、情绪及人心。,www.zhihu.com/consult/people/723212850729869312
归伶昌,5.0,64,500,32000,我是 搞哲学的，略懂 哲学。,www.zhihu.com/consult/people/730316431966605312
张小北,5.0,44,19800,871200,我是电影编剧、导演，预告片制作人，以及前影评人。擅长电影话题和谈心，以及毒舌。,www.zhihu.com/consult/people/723262440657145856
韧心旎,4.93,236,29900,7056400,美国心旎性格成长工作室首席咨询师 美国华盛顿注册心理咨询师,www.zhihu.com/consult/people/723183716859404288
鹤运,5.0,20,9900,198000,地下工程博士僧，略懂隧道、边坡、基坑、机场……快来给我投食吧！,www.zhihu.com/consult/people/723187635337576448
外星菜鸟,5.0,24,1600,38400,临床医学博士，略懂大脑、抑郁症、认知等，专注医学科研和统计,www.zhihu.com/consult/people/723230169099177984
甜阁下,4.92,230,10000,2300000,后现代心理咨询师。一个善意的回答就是一个甜蜜的吻,www.zhihu.com/consult/people/723191841767305216
Tianxi,5.0,87,6400,556800,"摄影师，就像你们知道的。
平时忙起来回答问题会比较慢，请大家谅解。",www.zhihu.com/consult/people/723631932805480448
周召,4.94,112,10000,1120000,金融名公,www.zhihu.com/consult/people/787322411694592000
腾天,5.0,135,16800,2268000,某跨国银行外汇电子做市策略主管。留英十多年，在帝国理工完成博士学位后专注量化交易。,www.zhihu.com/consult/people/723257355604590592
苏澄宇,5.0,23,900,20700,我是 动物营养学硕士，略懂 动物营养。,www.zhihu.com/consult/people/723585459657129984
Edwin,4.95,95,20000,1900000,1，不接收匿名咨询，2，只接受牙齿矫正方面问题，3，追问次数有限，想清楚要问什么,www.zhihu.com/consult/people/723985364561166336
蔡中元,5.0,31,6900,213900,心理教育工作者，心理咨询师，擅长未成年人心理教育，家庭教育，生涯规划教育，放松减压。,www.zhihu.com/consult/people/723189299419283456
鱼非鱼,4.99,96,1600,153600,待过3国4校4专业的交通政策博士。业余会试车。接受选车、高考志愿、出国申请咨询。,www.zhihu.com/consult/people/723140092926914560
张亮-Leo♂,4.92,116,39900,4628400,我是张亮-leo，略懂互联网运营。,www.zhihu.com/consult/people/723181048342515712
惊奇影像,5.0,88,100,8800,一个不懂拍妹子的摄影人,www.zhihu.com/consult/people/723285368840945664
刘锐,4.98,48,2000,96000,,www.zhihu.com/consult/people/723177185971539968
张明云,4.96,24,2000,48000,知乎安卓和编程话题优秀回答者、安卓工程师、TeamLeader、MDCC演讲嘉宾,www.zhihu.com/consult/people/723279962408239104
Nordenbox,5.0,17,1000,17000,我是 说书人，略懂 讲故事。,www.zhihu.com/consult/people/723862169694769152
刘建鸿,5.0,12,4900,58800,我是 刘建鸿，发展与教育心理学博士。倡导积极教养，对儿童教育和教养比较熟悉。,www.zhihu.com/consult/people/723220800626237440
Kevin Zhang,5.0,77,2000,154000,曼大电气系本科年级第一，综合能源系统方向博士生。,www.zhihu.com/consult/people/769927091582951424
巴甫洛夫的狗,4.97,134,20000,2680000,民事法官，略懂婚姻家庭、劳动争议、侵权责任等相关法律知识。,www.zhihu.com/consult/people/724294689896820736
Yan Zou,4.8,16,5000,80000,我是 邹岩，略懂 数学。不懂概率和统计。,www.zhihu.com/consult/people/723671577287217152
Phoenix,4.95,76,1800,136800,前四大审计，中国注册会计师，现内资券商投行部员工，略懂财务审计。,www.zhihu.com/consult/people/726546583495118848
慧航,4.98,52,5000,260000,我是慧航，上财博士，上外贸教师~价格与我空闲时间成反比,www.zhihu.com/consult/people/723193549461393408
张亮,5.0,62,9900,613800,我是张亮，知乎联合创始人，专注解答创业、风险投资相关问题。,www.zhihu.com/consult/people/722544643748687872
太空精酿,5.0,93,2500,232500,航天专业博士，啤博士发起者,www.zhihu.com/consult/people/723626240291934208
苏菲,5.0,27,12800,345600,日本留学，就职，文化，日语，旅游，美食，都可以。如果我觉得不能给出值得你付费的答案，会拒绝回答退款给您。,www.zhihu.com/consult/people/723232501190901760
李梅里,5.0,12,4900,58800,北大本科，英皇满分毕业，中国唯一活跃国际假声男高音，伦敦歌剧演员。,www.zhihu.com/consult/people/724322564494626816
孙少军,5.0,22,10000,220000,AC老司机。汽车购买。,www.zhihu.com/consult/people/723176307143213056
傅渥成,5.0,55,5000,275000,在读博士，研究生命体系的统计物理，略懂物理、生物、统计和复杂系统，欢迎各种提问～,www.zhihu.com/consult/people/723121652317048832
刘飞,5.0,45,4900,220500,"互联网产品经理，创业者。
滴滴出行产品专家。",www.zhihu.com/consult/people/723195373069287424
温义飞,5.0,13,9900,128700,我是温义飞，略懂经济学，很懂夸自己。,www.zhihu.com/consult/people/723645833571991552
weizhi pan,4.91,346,2000,692000,CFA/ACCA持证人，前四大狗，在评级机构搬过砖，现在在保险资管做评级,www.zhihu.com/consult/people/723176677173133312
菲利普医生,4.86,69,5000,345000,外科学硕士，外科学博士在读。整形外科临床工作两年，上海市优秀住院医师。,www.zhihu.com/consult/people/774937904009977856
KellyWeaver,4.94,36,18800,676800,慕尼黑大学流行病学硕士，研究方向营养流行病学。不回答个人问诊，具体病情咨询请出门右转及时去医院。,www.zhihu.com/consult/people/723199963655340032
SansanL,5.0,25,1900,47500,我是面包师Sansan，日本蓝带甜品专业，Soul Kitchen主理人,www.zhihu.com/consult/people/724572074038820864
蓝紫,4.97,141,10000,1410000,留美心理咨询师。略懂情绪、亲密关系、人际交往及留学生活中的困境。,www.zhihu.com/consult/people/723304615038160896
